labid	subid	CDI.form	CDI.agerange	CDI.agedays	vocab_nwords	standardized.score.CDI	CDI.error	Notes	subid_unique	standardized.score.CDI.num	language	language_zone	trial_order	method	age_days	age_mo	age_group	nae	gender	second_session	CDI.agemin	CDI.agemax	IDS_pref	CDI.nwords	CDI.prop	z_age_months	CDI.z_age_months	CDI.grouped.z_age_months	z_standardized_CDI	z_vocab_nwords	percentile
babylabbrookes	mb01	O-CDI	18	547	26	NA	FALSE	NA	babylabbrookes:mb01	NA	British English	British	1	singlescreen	142	4.6652977412731	3-6 mo	FALSE	F	FALSE	502	594	-0.220994475138122	416	0.0625	-5.13533137003056	-3.17580289703248	-0.290994426518042	NA	-0.90137561725919	34
babylabbrookes	mb01	O-CDI	24	750	326	NA	FALSE	NA	babylabbrookes:mb01	NA	British English	British	1	singlescreen	142	4.6652977412731	3-6 mo	FALSE	F	FALSE	685	776	-0.220994475138122	416	0.783653846153846	-5.13533137003056	3.49360162042132	0.569383198123898	NA	1.08732992968589	67
babylabbrookes	mb02	O-CDI	18	563	110	NA	FALSE	NA	babylabbrookes:mb02	NA	British English	British	2	singlescreen	154	5.05954825462013	3-6 mo	FALSE	M	FALSE	502	594	0.13560929350403	416	0.264423076923077	-4.74108085668354	-2.65013554590312	0.234672924611322	NA	-0.344538064114568	79
babylabbrookes	mb02	O-CDI	24	731	317	NA	FALSE	NA	babylabbrookes:mb02	NA	British English	British	2	singlescreen	154	5.05954825462013	3-6 mo	FALSE	M	FALSE	685	776	0.13560929350403	416	0.762019230769231	-4.74108085668354	2.8693716409552	-0.0548467813422216	NA	1.02766876327753	73
babylabbrookes	mb04	O-CDI	18	543	28	NA	FALSE	NA	babylabbrookes:mb04	NA	British English	British	4	singlescreen	271	8.90349075975359	6-9 mo	FALSE	F	FALSE	502	594	-0.0564657965379987	416	0.0673076923076923	-0.897138351550071	-3.30721973481482	-0.422411264300382	NA	-0.888117580279556	40
babylabbrookes	mb101	O-CDI	18	555	87	NA	FALSE	NA	babylabbrookes:mb101	NA	British English	British	2	singlescreen	180	5.91375770020534	3-6 mo	FALSE	M	FALSE	502	594	0.396999451318882	416	0.209134615384615	-3.88687141109833	-2.9129692214678	-0.0281607509533598	NA	-0.497005489380358	76
babylabbrookes	mb102	O-CDI	18	551	151	NA	FALSE	NA	babylabbrookes:mb102	NA	British English	British	3	singlescreen	92	3.02258726899384	3-6 mo	FALSE	F	FALSE	502	594	-0.0793336109954186	416	0.362980769230769	-6.77804184230982	-3.04438605925014	-0.159577588735701	NA	-0.0727483060320749	91
babylabbrookes	mb103	O-CDI	24	746	192	NA	FALSE	NA	babylabbrookes:mb103	NA	British English	British	2	singlescreen	368	12.0903490759754	12-15 mo	FALSE	F	FALSE	685	776	-0.347446941623755	416	0.461538461538462	2.28971996467169	3.36218478263898	0.437966360341557	NA	0.199041452050419	42
babylabbrookes	mb104	O-CDI	24	733	359	NA	FALSE	NA	babylabbrookes:mb104	NA	British English	British	4	singlescreen	402	13.2073921971253	12-15 mo	FALSE	F	FALSE	685	776	-0.54890098810244	416	0.862980769230769	3.40676308582159	2.93508005984637	0.0108616375489489	NA	1.30608753984984	81
babylabbrookes	mb105	O-CDI	18	542	71	NA	FALSE	NA	babylabbrookes:mb105	NA	British English	British	4	singlescreen	155	5.09240246406571	3-6 mo	FALSE	M	FALSE	502	594	0.633365713419393	416	0.170673076923077	-4.70822664723796	-3.34007394426041	-0.455265473745968	NA	-0.603069785217428	74
babylabbrookes	mb107	O-CDI	18	543	196	NA	FALSE	NA	babylabbrookes:mb107	NA	British English	British	4	singlescreen	159	5.22381930184805	3-6 mo	FALSE	F	FALSE	502	594	0.207982288912121	416	0.471153846153846	-4.57680980945562	-3.30721973481482	-0.422411264300382	NA	0.225557526009686	96
babylabbrookes	mb15	O-CDI	18	530	1	NA	FALSE	NA	babylabbrookes:mb15	NA	British English	British	3	singlescreen	445	14.6201232032854	12-15 mo	FALSE	M	FALSE	502	594	-0.116173400466658	416	0.00240384615384615	4.81949409198176	-3.73432445760743	-0.84951598709299	NA	-1.06710107950461	2
babylabbrookes	mb15	O-CDI	24	733	44	NA	FALSE	NA	babylabbrookes:mb15	NA	British English	British	3	singlescreen	445	14.6201232032854	12-15 mo	FALSE	M	FALSE	685	776	-0.116173400466658	416	0.105769230769231	4.81949409198176	2.93508005984637	0.0108616375489489	NA	-0.782053284442485	12
babylabbrookes	mb16	O-CDI	18	561	102	NA	FALSE	NA	babylabbrookes:mb16	NA	British English	British	4	singlescreen	140	4.59958932238193	3-6 mo	FALSE	M	FALSE	502	594	0.162026586405819	416	0.245192307692308	-5.20103978892173	-2.71584396479429	0.168964505720151	NA	-0.397570212033104	78
babylabbrookes	mb18	O-CDI	24	763	84	NA	FALSE	NA	babylabbrookes:mb18	NA	British English	British	2	singlescreen	392	12.8788501026694	12-15 mo	FALSE	M	FALSE	685	776	-0.262674650698603	416	0.201923076923077	3.07822099136574	3.92070634321393	0.996487920916505	NA	-0.516892544849808	18
babylabbrookes	mb20	O-CDI	24	741	279	NA	FALSE	NA	babylabbrookes:mb20	NA	British English	British	4	singlescreen	424	13.9301848049281	12-15 mo	FALSE	F	FALSE	685	776	0.710390355912744	416	0.670673076923077	4.12955569362447	3.19791373541105	0.273695313113631	NA	0.775766060664491	60
babylabbrookes	mb31	O-CDI	24	750	151	NA	FALSE	NA	babylabbrookes:mb31	NA	British English	British	2	singlescreen	139	4.56673511293635	3-6 mo	FALSE	M	FALSE	685	776	0.0833167231413195	416	0.362980769230769	-5.23389399836732	3.49360162042132	0.569383198123898	NA	-0.0727483060320749	37
babylabbrookes	mb35	O-CDI	24	738	348	NA	FALSE	NA	babylabbrookes:mb35	NA	British English	British	1	singlescreen	188	6.17659137577002	6-9 mo	FALSE	F	FALSE	685	776	-0.136227780399559	416	0.836538461538462	-3.62403773553364	3.0993511070743	0.175132684776875	NA	1.23316833646186	77
babylabbrookes	mb36	O-CDI	24	736	346	NA	FALSE	NA	babylabbrookes:mb36	NA	British English	British	3	singlescreen	216	7.09650924024641	6-9 mo	FALSE	F	FALSE	685	776	0.481467030823254	416	0.831730769230769	-2.70411987105726	3.03364268818313	0.109424265885705	NA	1.21991029948222	78
