labid	subid	CDI-form	CDI-agerange	CDI-agedays	vocab_nwords	standardized-score-CDI	CDI-error	Notes	
infantstudies-ubc	MB_M_1	webcdi	18	559	97	62	NA		
infantstudies-ubc	MB_M_2	webcdi	18	NA	NA	NA	NA	CDI not completed	
infantstudies-ubc	MB_M_3	webcdi	18	540	232	93	NA		
infantstudies-ubc	MB_M_4	webcdi	18	543	51	50	NA		
infantstudies-ubc	MB_M_5	webcdi	18	548	6	3	NA		
infantstudies-ubc	MB_M_6	webcdi	18	NA	NA	NA	NA	CDI not completed	
infantstudies-ubc	MB_M_7	webcdi	18	538	79	63	NA		
infantstudies-ubc	MB_M_8	webcdi	18	540	14	12	NA		
infantstudies-ubc	MB_M_9	webcdi	18	NA	NA	NA	NA	CDI not completed	
infantstudies-ubc	MB_M_10	webcdi	18	549	15	14	NA		
infantstudies-ubc	MB_M_11	webcdi	18	523	118	65	NA		
infantstudies-ubc	MB_M_12	webcdi	18	NA	NA	NA	NA	CDI not completed	
infantstudies-ubc	MB_M_13	webcdi	18	541	10	8	NA		
infantstudies-ubc	MB_M_14	webcdi	18	564	6	3	NA		
infantstudies-ubc	MB_M_15	webcdi	18	NA	NA	NA	NA	CDI not completed 	
infantstudies-ubc	MB_M_16	webcdi	18	571	19	13	NA		
infantstudies-ubc	MB_M_17	webcdi	18	526	38	27	NA		
infantstudies-ubc	MB_M_18	webcdi	18	NA	NA	NA	NA	CDI not completed 	
infantstudies-ubc	MB_M_19	webcdi	18	542	32	23	NA		
infantstudies-ubc	MB_M_20	webcdi	18	536	28	20	NA		
infantstudies-ubc	MB_M_21	webcdi	18	557	52	42	NA		
infantstudies-ubc	MB_M_22	webcdi	18	533	21	14	NA		
infantstudies-ubc	MB_M_23	webcdi	18	500	77	57	NA		
infantstudies-ubc	MB_M_24	webcdi	18	490	19	16	NA		
infantstudies-ubc	MB_M_25	webcdi	18	509	5	5	NA		
