dataset,subids
CDI,mbmb0101
CDI,mbmb0303
CDI,mbmb0404
CDI,mbmb0602
CDI,mbmb0702
CDI,mbmb0802
CDI,mbmb1002
CDI,mbmb1103
CDI,mbmb1204
CDI,mbmb1401
CDI,mbmb1504
CDI,mbmb1701
CDI,mbmb1902
CDI,mbmb2103
CDI,mbmb2304
CDI,mbmb2401
CDI,mbmb2504
CDI,mbmb2703
CDI,mbmb2804
CDI,mbmb2901
CDI,mbmb3002
CDI,mbmb3103
CDI,mbmb3201
CDI,mbmb3304
CDI,mbmb3402
CDI,mbmb3503
CDI,mbmb3604
IDS,mb0101
IDS,mb0202
IDS,mb0303
IDS,mb0404
IDS,mb0501
IDS,mb0602
IDS,mb0702
IDS,mb0802
IDS,mb0903
IDS,mb1002
IDS,mb1103
IDS,mb1204
IDS,mb1304
IDS,mb1401
IDS,mb1504
IDS,mb1601
IDS,mb1701
IDS,mb1802
IDS,mb1902
IDS,mb2003
IDS,mb2103
IDS,mb2204
IDS,mb2304
IDS,mb2401
IDS,mb2504
IDS,mb2601
IDS,mb2703
IDS,mb2804
IDS,mb2901
IDS,mb3002
IDS,mb3103
IDS,mb3201
IDS,mb3304
IDS,mb3402
IDS,mb3503
IDS,mb3604
