─ Session info ───────────────────────────────────────────────
 setting  value
 version  R version 4.2.2 (2022-10-31)
 os       macOS Ventura 13.2.1
 system   aarch64, darwin20
 ui       RStudio
 language (EN)
 collate  en_US.UTF-8
 ctype    en_US.UTF-8
 tz       America/New_York
 date     2023-02-27
 rstudio  2022.07.2+576 Spotted Wakerobin (desktop)
 pandoc   2.19.2 @ /Applications/RStudio.app/Contents/MacOS/quarto/bin/tools/ (via rmarkdown)

─ Packages ───────────────────────────────────────────────────
 package        * version  date (UTC) lib source
 bridgesampling * 1.1-2    2021-04-16 [1] CRAN (R 4.2.0)
 brms           * 2.18.0   2022-09-19 [1] CRAN (R 4.2.0)
 car            * 3.1-1    2022-10-19 [1] CRAN (R 4.2.0)
 carData        * 3.0-5    2022-01-06 [1] CRAN (R 4.2.0)
 dplyr          * 1.0.10   2022-09-01 [1] CRAN (R 4.2.0)
 effects        * 4.2-2    2022-07-13 [1] CRAN (R 4.2.0)
 egg            * 0.4.5    2019-07-13 [1] CRAN (R 4.2.0)
 forcats        * 0.5.2    2022-08-19 [1] CRAN (R 4.2.0)
 furrr          * 0.3.1    2022-08-15 [1] CRAN (R 4.2.0)
 future         * 1.31.0   2023-02-01 [1] CRAN (R 4.2.0)
 future.apply   * 1.10.0   2022-11-05 [1] CRAN (R 4.2.0)
 ggplot2        * 3.4.0    2022-11-04 [1] CRAN (R 4.2.2)
 gridExtra      * 2.3      2017-09-09 [1] CRAN (R 4.2.0)
 knitr          * 1.40     2022-08-24 [1] CRAN (R 4.2.0)
 lattice        * 0.20-45  2021-09-22 [1] CRAN (R 4.2.2)
 lme4           * 1.1-31   2022-11-01 [1] CRAN (R 4.2.0)
 lmerTest       * 3.1-3    2020-10-23 [1] CRAN (R 4.2.0)
 Matrix         * 1.5-1    2022-09-13 [1] CRAN (R 4.2.2)
 purrr          * 0.3.5    2022-10-06 [1] CRAN (R 4.2.0)
 Rcpp           * 1.0.9    2022-07-08 [1] CRAN (R 4.2.0)
 readr          * 2.1.3    2022-10-01 [1] CRAN (R 4.2.0)
 robustlmm      * 3.1-2    2022-12-08 [1] CRAN (R 4.2.0)
 rstan          * 2.21.8   2023-01-17 [1] CRAN (R 4.2.0)
 sessioninfo    * 1.2.2    2021-12-06 [1] CRAN (R 4.2.0)
 simr           * 1.0.6    2022-03-08 [1] CRAN (R 4.2.0)
 sjPlot         * 2.8.12   2022-11-19 [1] CRAN (R 4.2.0)
 StanHeaders    * 2.21.0-7 2020-12-17 [1] CRAN (R 4.2.0)
 stringr        * 1.4.1    2022-08-20 [1] CRAN (R 4.2.0)
 tibble         * 3.1.8    2022-07-22 [1] CRAN (R 4.2.0)
 tidyr          * 1.2.1    2022-09-08 [1] CRAN (R 4.2.0)
 tidyverse      * 1.3.2    2022-07-18 [1] CRAN (R 4.2.0)

 [1] /Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library

──────────────────────────────────────────────────────────────
